"","Brand","Name","Price","Kms"
"1","TVS","TVS Star City Plus Dual Tone 110cc",35000,"110"
"2","Triumph","Triumph Daytona 675R",600000,"675"
"3","Yamaha","Yamaha FZ S V 2.0 150cc-Ltd. Edition",80000,"150"
"4","Yamaha","Yamaha FZs 150cc",53499,"150"
"5","Honda","Honda CB Hornet 160R  ABS DLX",85000,"160"
"6","Hero","Hero Splendor Plus Self Alloy 100cc",45000,"100"
"7","Royal Enfield","Royal Enfield Thunderbird X 350cc",145000,"350"
"8","Bajaj","Bajaj Discover 100M",29499,"100"
"9","Bajaj","Bajaj Pulsar NS200 ABS",90000,"200"
"10","Bajaj","Bajaj Pulsar RS200 ABS",120000,"200"
"11","Suzuki","Suzuki Gixxer SF 150cc",48000,"150"
"12","Benelli","Benelli 302R 300CC",240000,"302"
"13","Bajaj","Bajaj Pulsar RS200 ABS",120000,"200"
"14","Suzuki","Suzuki Gixxer SF 150cc",48000,"150"
"15","Hero","Hero Splendor iSmart Plus IBS 110cc",46500,"110"
"16","Royal Enfield","Royal Enfield Classic Chrome 500cc",121700,"500"
"17","Yamaha","Yamaha FZ V 2.0 150cc",45000,"150"
"18","Hero","Hero Super Splendor 125cc",20000,"125"
"19","Bajaj","Bajaj Pulsar 150cc",50000,"150"
"20","Honda","Honda X-Blade 160CC ABS",81200,"160"
"21","Bajaj","Bajaj Pulsar NS200",88000,"200"
"22","Bajaj","Bajaj Avenger 220cc",40900,"220"
"23","Honda","Honda CB Unicorn 150cc",40000,"150"
"24","KTM","KTM Duke 200cc",70000,"200"
"25","Royal Enfield","Royal Enfield Classic 350cc",98800,"350"
"26","Honda","Honda CBR 150R 150cc",65000,"150"
"27","Royal Enfield","Royal Enfield Thunderbird X 500cc",190500,"500"
"28","KTM","KTM RC 200cc ABS",179000,"200"
"29","Royal Enfield","Royal Enfield Thunderbird 350cc",70000,"350"
"30","Bajaj","Bajaj Avenger 220cc",45000,"220"
"31","Royal Enfield","Royal Enfield Bullet Electra 350cc",78000,"350"
"32","Bajaj","Bajaj Avenger Street 220 ABS",110000,"220"
"33","Royal Enfield","Royal Enfield Classic 350cc",85000,"350"
"34","Bajaj","Bajaj Pulsar NS200",38000,"200"
"35","Royal Enfield","Royal Enfield Thunderbird 350cc",55346,"350"
"36","Mahindra","Mahindra Centuro NXT 110cc",28000,"110"
"37","Hero","Hero Hunk 150cc",37000,"150"
"38","Suzuki","Suzuki Gixxer SF Fi 150cc SP ABS",97000,"150"
"39","Yamaha","Yamaha FZ 150cc",40000,"150"
